Pathway,Reaction Ids,Reaction,Location on map,13C Flux,13C Lower Bound,13C Upper Bound,SPOT PVHG6 Flux,SPOT PVHG6 Flux Std
Anaplerotic Reactions,PPC or reverse_PEPCK_re,PEP + CO2 -> OAC,,48.9039,0.0,59.1635,-336.4933640930033,37.03454903309627
Anaplerotic Reactions,PEPCK_re,OAC + ATP -> PEP + CO2,,97.7718,12.9269,100.0,336.4933640930033,37.03454903309627
Acetate Formation,BUTCT or A4HBCT or ACOXT or reverse_ACS or reverse_ACACCT,AcCoA <-> Ac + ATP,,-1.2344,-1.2951,-1.1565,-32.12526960805661,23.719745285005494
Energy Reactions,reverse_NADTRHD,NADH <-> NADPH,,14.4316,1.1087,27.2447,-5.119609836164503e-07,7.240221664362539e-07
Energy Reactions,ATPM,ATP -> ATP.ext,,680.0864,613.1475,787.5166,0.0,0.0
Transport,EX_co2_e,CO2 -> CO2.ext,,376.457,365.0427,386.6854,594.0528564479874,8.410558565517482
Transport,reverse_EX_o2_e,O2.ext -> O2,,433.6956,420.7564,445.9396,697.3801034828242,3.705121138265694
Transport,reverse_EX_so4_e,NH3.ext -> NH3,,25.7527,24.1274,27.0206,0.0,0.0
Transport,SO4t2,SO4.ext -> SO4,,0.4177,0.3913,0.4383,0.0,0.0
Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> 39.68*Biomass + 1.455*NADH,,4.6934,4.3972,4.9245,0.0,0.0
